Agreement Number,Disbursement Date,Loan Amount,Number of Ornaments,Gross Auction Weight of Ornaments(gm),Auction Date,Auction Place,Branch Address
PV97GOL5844431,31-Oct-22,16849,1,5,16-Jan-24,Adilabad Dwaraka nagar I,"Mahajan Complex, First floor, Busstand road. Dwaraka nagar, Adilabad- 504001"
PV97GOL5847742,31-Oct-22,36149,1,10.6,16-Jan-24,Adilabad Dwaraka nagar I,
PV97GOL5870393,03-Nov-22,50050,1,14.79,16-Jan-24,Adilabad Dwaraka nagar I,
PV97GOL5896555,07-Nov-22,145149,1,47.5,16-Jan-24,Adilabad Dwaraka nagar I,
PV97GOL5945650,12-Nov-22,5149,1,2.1,16-Jan-24,Adilabad Dwaraka nagar I,
PV97GOL5960107,14-Nov-22,29649,1,9,16-Jan-24,Adilabad Dwaraka nagar I,
PV97GOL5975509,16-Nov-22,21099,1,7,16-Jan-24,Adilabad Dwaraka nagar I,
PV97GOL6017974,21-Nov-22,66478,2,20.7,16-Jan-24,Adilabad Dwaraka nagar I,
PKB9SGL5894474,07-Nov-22,57499,1,20.04,15-Jan-24,Ahmedabad Gurukul GL,"Balaji Complex, shop No F6 & 7; 1st Floor, Opp Swaminarayan Gurukul Mandir, Drive IN Road, Gurukul, Ahmedabad - 380052"
PLB1SGL5847460,31-Oct-22,49849,1,14.56,15-Jan-24,AHMEDABAD NIKOL GL,"Ground Floor, Shop No F32-33,Pancham Shopping Mall, Near Jivan Wadi, Nikol Above SBI Bank Ahmedabad,382350"
POB2SGL5875079,04-Nov-22,35000,2,10.55,15-Jan-24,AHMEDABAD VASTRAL GL,"Ground Floor, Shop No 05, Radhekishan Complex, Opp karnavati Megha Mall, Vastral, Ahmedabad-382418"
PLB3SGL5934636,11-Nov-22,199649,6,59.35,15-Jan-24,AHMEDABAD VIRAT NAGAR GL,"Ground Floor, Shop 1, Pioneer Plaza,Viranagar Road,Soni ni Chal,Odhav Ahmedabad,Gujarat 382415"
P441GOL5867586,03-Nov-22,33249,2,10.65,15-Jan-24,Ahmednagar Delhigate GL,"Chhindam Heights; Ground floor, CTS.NO 7612/1, Delhigate, Near shani Mandir, Ahmednagar, MH 414001"
P441GOL5887297,05-Nov-22,89448,1,32.88,15-Jan-24,Ahmednagar Delhigate GL,
P441GOL5906572,08-Nov-22,25959,1,8.27,15-Jan-24,Ahmednagar Delhigate GL,
P441GOL5923436,10-Nov-22,32093,1,9.36,15-Jan-24,Ahmednagar Delhigate GL,
P441GOL5965329,15-Nov-22,104981,3,33.98,15-Jan-24,Ahmednagar Delhigate GL,
P441GOL5965812,15-Nov-22,8249,1,2.56,15-Jan-24,Ahmednagar Delhigate GL,
P441GOL5978902,16-Nov-22,45949,1,15.53,15-Jan-24,Ahmednagar Delhigate GL,
P65HGOL5830894,29-Oct-22,21149,2,10.8,15-Jan-24,AJMER GL,"Bajaj Finance Limited, 2nd Floor, Near Martindale Bridge,  Above Muthoot Finance,  Beawar Road,  Ajmer, Rajasthan – 305001"
P65HGOL5848383,31-Oct-22,397682,9,163.4,15-Jan-24,AJMER GL,
P65HGOL5854387,01-Nov-22,11349,1,3.6,15-Jan-24,AJMER GL,
P65HGOL5859288,02-Nov-22,12149,1,3.7,15-Jan-24,AJMER GL,
P65HGOL5859997,02-Nov-22,30039,2,10.01,15-Jan-24,AJMER GL,
P65HGOL5870581,03-Nov-22,138209,7,42.8,15-Jan-24,AJMER GL,
P65HGOL5886737,05-Nov-22,10149,1,4.7,15-Jan-24,AJMER GL,
P65HGOL5914668,09-Nov-22,5183,1,5.6,15-Jan-24,AJMER GL,
P65HGOL5914881,09-Nov-22,27649,4,23.65,15-Jan-24,AJMER GL,
P65HGOL5956540,14-Nov-22,44543,4,18.6,15-Jan-24,AJMER GL,
P65HGOL5953959,14-Nov-22,24649,1,7.3,15-Jan-24,AJMER GL,
P65HGOL5959265,14-Nov-22,99949,3,59.1,15-Jan-24,AJMER GL,
P65HGOL5975279,16-Nov-22,32149,1,11.16,15-Jan-24,AJMER GL,
P65HGOL5984704,17-Nov-22,95037,7,35.05,15-Jan-24,AJMER GL,
P65HGOL5984292,17-Nov-22,170649,9,69.95,15-Jan-24,AJMER GL,
P65HGOL6005459,19-Nov-22,69649,1,19.95,15-Jan-24,AJMER GL,
P481GOL5846808,31-Oct-22,57149,3,43.7,15-Jan-24,Ajmer India Motor Circle GL,"Bajaj Finance LTD.,1St Floor,India Hights Bilding, India Motor Circel, Kuchary Road,Ajmer-  305001"
P481GOL5855925,01-Nov-22,301249,5,234.5,15-Jan-24,Ajmer India Motor Circle GL,
P481GOL5854283,01-Nov-22,34149,1,12.3,15-Jan-24,Ajmer India Motor Circle GL,
P481GOL5898012,07-Nov-22,19149,3,9,15-Jan-24,Ajmer India Motor Circle GL,
P481GOL5944860,12-Nov-22,155573,3,48.58,15-Jan-24,Ajmer India Motor Circle GL,
P481GOL5970322,15-Nov-22,60931,1,19.3,15-Jan-24,Ajmer India Motor Circle GL,
P481GOL5968922,15-Nov-22,31612,3,15.69,15-Jan-24,Ajmer India Motor Circle GL,
P481GOL5968041,15-Nov-22,10149,2,3.9,15-Jan-24,Ajmer India Motor Circle GL,
P481GOL5975828,16-Nov-22,59149,2,17.56,15-Jan-24,Ajmer India Motor Circle GL,
P481GOL5974604,16-Nov-22,69549,3,70.4,15-Jan-24,Ajmer India Motor Circle GL,
P481GOL5987879,17-Nov-22,97649,6,34.2,15-Jan-24,Ajmer India Motor Circle GL,
P481GOL5992368,18-Nov-22,65149,2,23.6,15-Jan-24,Ajmer India Motor Circle GL,
P481GOL5993538,18-Nov-22,53149,1,15.3,15-Jan-24,Ajmer India Motor Circle GL,
PI90GOL5863327,02-Nov-22,92549,1,28.6,16-Jan-24,Akkayyapalem Gl,"Bajaj Finance Limited.,D.no: 49-1-6/1, 1st Floor, Opp. Apollo Medicals, Lalithanagar, Akkayyapalem, Visakhapatnam - 530016. Andhra Pradesh"
