Agreement Number,Disbursement Date,Loan Amount,Number of Ornaments,Gross Auction Weight of Ornaments(gm),Auction Date,Auction Place,Branch Address
PV97GOL5125200,02-Aug-22,120125,3,28.9,13-Oct-23,Adilabad Dwaraka nagar I,"Bajaj Finance LTD.,Mahajan Complex, First floor, Busstand road. Dwaraka nagar, Adilabad- 504001"
PV97GOL5134356,03-Aug-22,105125,1,30.3,13-Oct-23,Adilabad Dwaraka nagar I,
PV97GOL5141872,04-Aug-22,65125,1,20.21,13-Oct-23,Adilabad Dwaraka nagar I,
PV97GOL5162364,06-Aug-22,16625,1,4.96,13-Oct-23,Adilabad Dwaraka nagar I,
PV97GOL5159120,06-Aug-22,32625,1,10,13-Oct-23,Adilabad Dwaraka nagar I,
PV97GOL5158673,06-Aug-22,32761,1,12.5,13-Oct-23,Adilabad Dwaraka nagar I,
PV97GOL5242795,17-Aug-22,180325,1,9.78,13-Oct-23,Adilabad Dwaraka nagar I,
PV97GOL5245316,17-Aug-22,15500,1,5,13-Oct-23,Adilabad Dwaraka nagar I,
PV97GOL5253576,18-Aug-22,35125,1,11.9,13-Oct-23,Adilabad Dwaraka nagar I,
PV97GOL5308423,24-Aug-22,12125,1,3.6,13-Oct-23,Adilabad Dwaraka nagar I,
PV97GOL5304769,24-Aug-22,450125,1,19.5,13-Oct-23,Adilabad Dwaraka nagar I,
PLB1GOL5179706,09-Aug-22,39789,1,3.45,13-Oct-23,AHMEDABAD NIKOL GL,"Bajaj Finance LTD.,Ground Floor, Shop No F32-33,Pancham Shopping Mall, Near Jivan Wadi, Nikol Above SBI Bank Ahmedabad,382350"
PLB3GOL5190073,10-Aug-22,100825,2,13.25,13-Oct-23,AHMEDABAD VIRAT NAGAR GL,"Bajaj Finance LTD.,Ground Floor, Shop 1, Pioneer Plaza,Viranagar Road,Soni ni Chal,Odhav Ahmedabad,Gujarat 382415"
P441GOL5124758,02-Aug-22,11721,1,3.63,13-Oct-23,Ahmednagar Delhigate GL,"Bajaj Finance LTD.,Chhindam Heights; Ground floor, CTS.NO 7612/1, Delhigate, Near shani Mandir, Ahmednagar, MH 414001"
P441GOL5199752,11-Aug-22,10000,1,3.14,13-Oct-23,Ahmednagar Delhigate GL,
P441GOL5201500,11-Aug-22,25892,2,10.11,13-Oct-23,Ahmednagar Delhigate GL,
P441GOL5202837,11-Aug-22,29225,1,9,13-Oct-23,Ahmednagar Delhigate GL,
P441GOL5233688,16-Aug-22,17125,1,4.99,13-Oct-23,Ahmednagar Delhigate GL,
P441GOL5234563,16-Aug-22,153007,4,45.08,13-Oct-23,Ahmednagar Delhigate GL,
P441GOL5276061,20-Aug-22,190325,1,14.7,13-Oct-23,Ahmednagar Delhigate GL,
P441GOL5287542,22-Aug-22,13225,1,4.87,13-Oct-23,Ahmednagar Delhigate GL,
P441GOL5287000,22-Aug-22,170325,1,1.37,13-Oct-23,Ahmednagar Delhigate GL,
P65HGOL5152470,05-Aug-22,14125,1,26.7,13-Oct-23,AJMER GL,
P65HGOL5174455,08-Aug-22,30117,1,11.65,13-Oct-23,AJMER GL,
P65HGOL5184267,09-Aug-22,20969,1,3.1,13-Oct-23,AJMER GL,
P65HGOL5194016,10-Aug-22,6625,1,17.4,13-Oct-23,AJMER GL,
P65HGOL5190942,10-Aug-22,6125,1,10.1,13-Oct-23,AJMER GL,
P65HGOL5209128,12-Aug-22,8110,1,2.7,13-Oct-23,AJMER GL,
P65HGOL5219499,13-Aug-22,80125,1,17.4,13-Oct-23,AJMER GL,
P65HGOL5242300,17-Aug-22,15124,1,20.1,13-Oct-23,AJMER GL,
P65HGOL5286181,22-Aug-22,10125,1,3.75,13-Oct-23,AJMER GL,
P65HGOL5289659,22-Aug-22,25969,1,5.5,13-Oct-23,AJMER GL,
P481GOL5121752,01-Aug-22,88014,2,9.35,13-Oct-23,Ajmer India Motor Circle GL,"Bajaj Finance LTD.,1St Floor,India Hights Bilding, India Motor Circel, Kuchary Road,Ajmer-  305001"
P481GOL5128392,02-Aug-22,55125,1,19.5,13-Oct-23,Ajmer India Motor Circle GL,
P481GOL5154026,05-Aug-22,67125,1,4.82,13-Oct-23,Ajmer India Motor Circle GL,
P481GOL5160538,06-Aug-22,18125,2,6.6,13-Oct-23,Ajmer India Motor Circle GL,
P481GOL5173596,08-Aug-22,10927,1,3.58,13-Oct-23,Ajmer India Motor Circle GL,
P481GOL5170421,08-Aug-22,36125,1,14.6,13-Oct-23,Ajmer India Motor Circle GL,
P481GOL5193437,10-Aug-22,7729,1,4.3,13-Oct-23,Ajmer India Motor Circle GL,
P481GOL5210929,12-Aug-22,61696,2,21.5,13-Oct-23,Ajmer India Motor Circle GL,
P481GOL5265597,19-Aug-22,23525,2,7.1,13-Oct-23,Ajmer India Motor Circle GL,
P481GOL5271975,20-Aug-22,181700,1,13.4,13-Oct-23,Ajmer India Motor Circle GL,
P481GOL5273747,20-Aug-22,7125,1,2.4,13-Oct-23,Ajmer India Motor Circle GL,
P481GOL5299161,23-Aug-22,8625,1,13.8,13-Oct-23,Ajmer India Motor Circle GL,
PI90GOL5122544,01-Aug-22,81550,1,23.5,13-Oct-23,Akkayyapalem Gl,"Bajaj Finance Limited.,D.no: 49-1-6/1, 1st Floor, Opp. Apollo Medicals, Lalithanagar, Akkayyapalem, Visakhapatnam - 530016. Andhra Pradesh"
PI90GOL5237647,16-Aug-22,36589,1,10.6,13-Oct-23,Akkayyapalem Gl,
PI90GOL5245796,17-Aug-22,50134,1,14.5,13-Oct-23,Akkayyapalem Gl,
P4O1GOL5153633,05-Aug-22,65225,2,20.4,13-Oct-23,Akluj Shankarrao Plaza GL,"Bajaj Finance LTD.,Shankarrao Plaza, Ground Floor, opp. Bank of Baroda, Sadabhau Chowk, Akluj, Tal. Malshiras, Dist. Solapur, Maharashtra - 413101"
P4O1GOL5178703,09-Aug-22,19225,1,5.6,13-Oct-23,Akluj Shankarrao Plaza GL,
P4O1GOL5263431,19-Aug-22,123804,1,4.96,13-Oct-23,Akluj Shankarrao Plaza GL,
P489GOL5121866,01-Aug-22,13725,1,4.16,13-Oct-23,AKOLA KHADAN ROAD GL,"Bajaj Finance LTD.,Ground floor "" Alsi Plot Khadan road , Near Kerla Tyes infront of Cental Jail sindicamp road Akola-444001 (M.H)"
P489GOL5135009,03-Aug-22,67175,1,2.83,13-Oct-23,AKOLA KHADAN ROAD GL,
P489GOL5153948,05-Aug-22,27903,1,8.94,13-Oct-23,AKOLA KHADAN ROAD GL,
P489GOL5152909,05-Aug-22,26223,1,10.6,13-Oct-23,AKOLA KHADAN ROAD GL,
P489GOL5160307,06-Aug-22,25225,1,8.15,13-Oct-23,AKOLA KHADAN ROAD GL,
P489GOL5170716,08-Aug-22,5225,1,3.1,13-Oct-23,AKOLA KHADAN ROAD GL,
P489GOL5212777,12-Aug-22,20482,1,6.94,13-Oct-23,AKOLA KHADAN ROAD GL,
P489GOL5207758,12-Aug-22,71183,1,20.86,13-Oct-23,AKOLA KHADAN ROAD GL,
P489GOL5218290,13-Aug-22,40341,1,24.36,13-Oct-23,AKOLA KHADAN ROAD GL,
P489GOL5232805,16-Aug-22,89999,1,28.18,13-Oct-23,AKOLA KHADAN ROAD GL,
P489GOL5245621,17-Aug-22,16713,1,4.9,13-Oct-23,AKOLA KHADAN ROAD GL,
P489GOL5263242,19-Aug-22,5225,1,1.8,13-Oct-23,AKOLA KHADAN ROAD GL,
P489GOL5274493,20-Aug-22,10225,1,4.46,13-Oct-23,AKOLA KHADAN ROAD GL,
P4R3GOL5125099,02-Aug-22,16225,1,5.1,13-Oct-23,Akot Yogiraj Lakadganj GL,"Bajaj Finance LTD.,Yogiraj” Lakadganj, Beside Akola Urban Co-operative Bank, Akot, Akola, Maharashtra-444101"
P4R3GOL5125886,02-Aug-22,100325,1,29.4,13-Oct-23,Akot Yogiraj Lakadganj GL,
P4R3GOL5127039,02-Aug-22,10721,1,3.3,13-Oct-23,Akot Yogiraj Lakadganj GL,
P4R3GOL5124804,02-Aug-22,49207,1,3.3,13-Oct-23,Akot Yogiraj Lakadganj GL,
P4R3GOL5125580,02-Aug-22,39844,1,13.05,13-Oct-23,Akot Yogiraj Lakadganj GL,
P4R3GOL5142332,04-Aug-22,50103,2,6,13-Oct-23,Akot Yogiraj Lakadganj GL,
P4R3GOL5160318,06-Aug-22,21225,1,1.7,13-Oct-23,Akot Yogiraj Lakadganj GL,
P4R3GOL5162845,06-Aug-22,10996,1,3.85,13-Oct-23,Akot Yogiraj Lakadganj GL,
P4R3GOL5171807,08-Aug-22,71753,1,20.8,13-Oct-23,Akot Yogiraj Lakadganj GL,
P4R3GOL5180021,09-Aug-22,55912,1,30,13-Oct-23,Akot Yogiraj Lakadganj GL,
P4R3GOL5180142,09-Aug-22,105018,1,32.2,13-Oct-23,Akot Yogiraj Lakadganj GL,
P4R3GOL5182491,09-Aug-22,50225,2,5.1,13-Oct-23,Akot Yogiraj Lakadganj GL,
P4R3GOL5191240,10-Aug-22,26994,1,8.5,13-Oct-23,Akot Yogiraj Lakadganj GL,
P4R3GOL5202782,11-Aug-22,16216,1,5,13-Oct-23,Akot Yogiraj Lakadganj GL,
P4R3GOL5218765,13-Aug-22,12223,1,5.16,13-Oct-23,Akot Yogiraj Lakadganj GL,
P4R3GOL5238380,16-Aug-22,47218,1,10.5,13-Oct-23,Akot Yogiraj Lakadganj GL,
P4R3GOL5246144,17-Aug-22,28225,1,4,13-Oct-23,Akot Yogiraj Lakadganj GL,
P4R3GOL5254750,18-Aug-22,15725,1,4.6,13-Oct-23,Akot Yogiraj Lakadganj GL,
P4R3GOL5267090,19-Aug-22,13225,1,3.89,13-Oct-23,Akot Yogiraj Lakadganj GL,
P4R3GOL5263353,19-Aug-22,116262,1,6.75,13-Oct-23,Akot Yogiraj Lakadganj GL,
P4R3GOL5276357,20-Aug-22,20225,1,6.53,13-Oct-23,Akot Yogiraj Lakadganj GL,
P4R3GOL5308549,24-Aug-22,26225,1,1.1,13-Oct-23,Akot Yogiraj Lakadganj GL,
P578GOL5126218,02-Aug-22,15725,1,4.9,13-Oct-23,ALIBAG,Bajaj Finance Limited Keshraj Complex Frist Floor Plot No R29 Dandekar Automobailes Shribag No 3 Alibag Raigad 402201
P578GOL5274921,20-Aug-22,7192,1,2.4,13-Oct-23,ALIBAG,
P578GOL5304734,24-Aug-22,80053,1,8.4,13-Oct-23,ALIBAG,
P38EGOL5150973,05-Aug-22,50125,1,22.445,13-Oct-23,Almora,"Bajaj finance limited,Ground floor in front of SP office Arya samaj mandir Mall road Almora,263601"
P480GOL5245404,17-Aug-22,108440,2,23.68,13-Oct-23,Alwar Palawat Market GL,"Bajaj Finance LTD.,Ground Floor, Opp. Palawat Market, Main Station Road, Alwar - 301001"
P5T2GOL5169010,08-Aug-22,66625,2,6.4,13-Oct-23,Amalapuram Main Road GL,"Bajaj Finance LTD.,GROUND FLOOR 3-2-40, K.Agraharam, Near Clock tower Amalapuram – 533201"
P5T2GOL5181704,09-Aug-22,26625,1,10.7,13-Oct-23,Amalapuram Main Road GL,
P5T2GOL5219196,13-Aug-22,27075,2,7.9,13-Oct-23,Amalapuram Main Road GL,
P5T2GOL5227429,14-Aug-22,13125,2,4,13-Oct-23,Amalapuram Main Road GL,
P5T2GOL5232018,16-Aug-22,182705,1,55.9,13-Oct-23,Amalapuram Main Road GL,
P5T2GOL5242727,17-Aug-22,79125,2,20.3,13-Oct-23,Amalapuram Main Road GL,
P5T2GOL5308623,24-Aug-22,57075,1,16.6,13-Oct-23,Amalapuram Main Road GL,
P07IGOL5135379,03-Aug-22,29000,2,9.4,13-Oct-23,Amaravati GL,"Bajaj Finance LTD.,Shop No-2, 1st Floor, Murari Complex, Opp Police Station, Shegaon Naka Sq.,  Paratwada Rd. Amravati, Maharashtra-444603"
P07IGOL5152846,05-Aug-22,81225,1,25.3,13-Oct-23,Amaravati GL,
P07IGOL5152216,05-Aug-22,160552,1,47.5,13-Oct-23,Amaravati GL,
P07IGOL5200924,11-Aug-22,177325,1,52.6,13-Oct-23,Amaravati GL,
P07IGOL5203837,11-Aug-22,93150,1,19.9,13-Oct-23,Amaravati GL,
P07IGOL5244567,17-Aug-22,33225,1,9.7,13-Oct-23,Amaravati GL,
P478GOL5145472,04-Aug-22,110325,1,33.55,13-Oct-23,Amravati Old Cotton Market Road GL,"Bajaj Finance LTD.,Ground Floor, Vimko Tower Bus stand road Amravati, Maharashtra-444601"
P478GOL5173053,08-Aug-22,10225,1,3.6,13-Oct-23,Amravati Old Cotton Market Road GL,
P478GOL5179419,09-Aug-22,16222,1,2,13-Oct-23,Amravati Old Cotton Market Road GL,
P478GOL5189006,10-Aug-22,11175,1,3.45,13-Oct-23,Amravati Old Cotton Market Road GL,
P478GOL5191382,10-Aug-22,72166,1,19.6,13-Oct-23,Amravati Old Cotton Market Road GL,
P478GOL5256145,18-Aug-22,50225,1,15.9,13-Oct-23,Amravati Old Cotton Market Road GL,
P478GOL5288016,22-Aug-22,54225,1,20.9,13-Oct-23,Amravati Old Cotton Market Road GL,
P4A9GOL5126519,02-Aug-22,18339,1,2.384,13-Oct-23,AMRELI,"Bajaj Finance LTD.,1st Floor, Hall -2, Dhara Complex, Nr, Nagnath Mahadev Mandir, Nagnath Circle, Amreli – 365601"
P4A9GOL5133744,03-Aug-22,18853,2,5.98,13-Oct-23,AMRELI,
P4A9GOL5144772,04-Aug-22,15000,2,4.683,13-Oct-23,AMRELI,
P4A9GOL5159153,06-Aug-22,38500,1,12.383,13-Oct-23,AMRELI,
P4A9GOL5231839,16-Aug-22,44125,1,14.72,13-Oct-23,AMRELI,
P4A9GOL5233972,16-Aug-22,54125,1,2.11,13-Oct-23,AMRELI,
P4A9GOL5231685,16-Aug-22,55125,1,16.726,13-Oct-23,AMRELI,
P4A9GOL5273456,20-Aug-22,66325,5,19.35,13-Oct-23,AMRELI,
P4A9GOL5272061,20-Aug-22,86125,1,5.55,13-Oct-23,AMRELI,
P4A9GOL5273142,20-Aug-22,107895,1,33.38,13-Oct-23,AMRELI,
PF89GOL5122626,01-Aug-22,150638,2,15.77,13-Oct-23,Amritsar GL,"Bajaj Finance Limited, Ground Floor, stand alone Building opp may fair appartment,main road,khandwala chowk,Amritsar punjab"
PF89GOL5168203,08-Aug-22,15119,1,5,13-Oct-23,Amritsar GL,
PF89GOL5189908,10-Aug-22,25915,1,3.95,13-Oct-23,Amritsar GL,
PF89GOL5190574,10-Aug-22,39813,1,9.78,13-Oct-23,Amritsar GL,
PF89GOL5242501,17-Aug-22,30125,1,10.4,13-Oct-23,Amritsar GL,
P570GOL5178661,09-Aug-22,40025,1,11.5,13-Oct-23,Anakapalle Bhargavi Plaza GL,"Bajaj Finance LTD.,#14-3-33, 1st floor, Bhargavi Plaza, Opp. George Club, Main Road, Anakapalle – 531 001"
P570GOL5286141,22-Aug-22,5845,1,1.76,13-Oct-23,Anakapalle Bhargavi Plaza GL,
P570GOL5284589,22-Aug-22,18400,1,5.4,13-Oct-23,Anakapalle Bhargavi Plaza GL,
P570GOL5307988,24-Aug-22,134875,1,40.88,13-Oct-23,Anakapalle Bhargavi Plaza GL,
P431GOL5122012,01-Aug-22,32575,1,10.12,13-Oct-23,Anand A V Road I,"Bajaj Finance LTD.,Shilp Building 1st Floor, above canara bank , Near Bhaikaka Statue A.V.Road , Anand , 388001"
P431GOL5127193,02-Aug-22,28625,1,8.6,13-Oct-23,Anand A V Road I,
P431GOL5159742,06-Aug-22,19500,2,5.76,13-Oct-23,Anand A V Road I,
P431GOL5169602,08-Aug-22,8025,1,2.4,13-Oct-23,Anand A V Road I,
P431GOL5251891,18-Aug-22,26069,2,5.62,13-Oct-23,Anand A V Road I,
P431GOL5288640,22-Aug-22,26125,1,7.6,13-Oct-23,Anand A V Road I,
P431GOL5298941,23-Aug-22,17125,3,5.16,13-Oct-23,Anand A V Road I,
P567GOL5169770,08-Aug-22,154005,4,49.42,13-Oct-23,ANANTPUR,"Bajaj Finance LTD.,D No 12-4-66, Plot No 101, 1st Floor, S V Towers, 1st Floor , 80 Feet Road, Vidyut Nagar, Anantapur, 515004"
P567GOL5236394,16-Aug-22,18825,1,5.94,13-Oct-23,ANANTPUR,
P567GOL5284519,22-Aug-22,15056,1,9.52,13-Oct-23,ANANTPUR,
P567GOL5298068,23-Aug-22,56125,1,16.1,13-Oct-23,ANANTPUR,
PW76GOL5143799,04-Aug-22,31125,2,2.01,13-Oct-23,Andipatti,"Bajaj Finance LTD.,1st Floor, No 673-5,Post office compound chettiyar pettai, Andipatti 625512"
PW76GOL5271339,20-Aug-22,30125,1,10.5,13-Oct-23,Andipatti,
PW76GOL5309033,24-Aug-22,10025,1,3,13-Oct-23,Andipatti,
P75QGOL5124835,02-Aug-22,180300,1,24.79,13-Oct-23,Anjar GL,"Bajaj Finance LTD.,Ground Floor,Varshamedi,Near Hotel Manav,Anjar Gujarat-370110"
P75QGOL5133122,03-Aug-22,15120,2,6.22,13-Oct-23,Anjar GL,
P75QGOL5170008,08-Aug-22,12550,1,3.2,13-Oct-23,Anjar GL,
P75QGOL5182414,09-Aug-22,7025,1,1.01,13-Oct-23,Anjar GL,
P75QGOL5190369,10-Aug-22,5125,1,2.82,13-Oct-23,Anjar GL,
P75QGOL5242997,17-Aug-22,54000,1,3.78,13-Oct-23,Anjar GL,
P75QGOL5246345,17-Aug-22,131700,1,22.67,13-Oct-23,Anjar GL,
P75QGOL5285297,22-Aug-22,9625,1,3.1,13-Oct-23,Anjar GL,
P75QGOL5296754,23-Aug-22,60125,1,23.27,13-Oct-23,Anjar GL,
P4L2GOL5255600,18-Aug-22,29383,1,12.1,13-Oct-23,Ankleshwar Roshni Plaza GL,"Bajaj Finance LTD.,1st Floor Office No- FF 1-2-3 Roshni Plaza, Near Shree Ganesh Agency Building,Old Station Road,Ankleshwar-393002"
P4L2GOL5285828,22-Aug-22,32120,1,10,13-Oct-23,Ankleshwar Roshni Plaza GL,
PX20GOL5126365,02-Aug-22,13972,1,5,13-Oct-23,Anupgarh station Road GL,"Bajaj Finance Limited, ,Ground Floor, Shop No: 105, opposite state Bank of India, station Road, Anupgarh, Rajasthan -335701"
PX20GOL5160164,06-Aug-22,10977,1,4.94,13-Oct-23,Anupgarh station Road GL,
PX20GOL5159072,06-Aug-22,52125,1,15.07,13-Oct-23,Anupgarh station Road GL,
PX20GOL5160840,06-Aug-22,24586,1,1.98,13-Oct-23,Anupgarh station Road GL,
PX20GOL5181587,09-Aug-22,22913,2,7.65,13-Oct-23,Anupgarh station Road GL,
PX20GOL5181502,09-Aug-22,30470,1,5,13-Oct-23,Anupgarh station Road GL,
PX20GOL5252268,18-Aug-22,10105,1,3.55,13-Oct-23,Anupgarh station Road GL,
PX20GOL5307649,24-Aug-22,14125,1,4.77,13-Oct-23,Anupgarh station Road GL,
P6X5GOL5308798,24-Aug-22,50725,2,5.5,13-Oct-23,ARAMBAGH,"Bajaj Finance LTD.,1st Floor, 897A, Babudevpur More, Ward No. 2,  Ahilya bai Holkar Road, Hooghly, Near Kalpataru Nurshing Home,Arambagh - 712601."
PB56GOL5126067,02-Aug-22,32175,1,9.9,13-Oct-23,Armoor Gl,"Bajaj Finance Limited ,1st Floor 3-2-57, Dhondi Complex, Ambedkar Chowrasta, Armoor District Nizamabad  Telangana– 503224"
PB56GOL5133467,03-Aug-22,100625,1,19.75,13-Oct-23,Armoor Gl,
PB56GOL5135770,03-Aug-22,160125,1,32.2,13-Oct-23,Armoor Gl,
PB56GOL5219535,13-Aug-22,122125,1,34.95,13-Oct-23,Armoor Gl,
PB56GOL5231642,16-Aug-22,40125,1,7.8,13-Oct-23,Armoor Gl,
PB56GOL5232066,16-Aug-22,68125,1,20,13-Oct-23,Armoor Gl,
PB56GOL5233183,16-Aug-22,15125,1,5.3,13-Oct-23,Armoor Gl,
PB56GOL5256675,18-Aug-22,126625,1,20,13-Oct-23,Armoor Gl,
PB56GOL5285771,22-Aug-22,110125,1,16.3,13-Oct-23,Armoor Gl,
P6V3GOL5290611,22-Aug-22,24125,1,2.48,13-Oct-23,ASIND,"Bajaj Finance Limited 1st Floor, Albhashar  Plaza,  Bhim Road, Chungi Naka,  Asind, Rajasthan – 311301"
P6V3GOL5288363,22-Aug-22,17625,1,5.67,13-Oct-23,ASIND,
P20IGOL5150477,05-Aug-22,35125,1,10.6,13-Oct-23,Assandh Gl,"Bajaj Finance LTD.,Ground floor, Near Axis bank, Karnal road Asandh-132039"
P20IGOL5178843,09-Aug-22,9225,1,3,13-Oct-23,Assandh Gl,
P20IGOL5209017,12-Aug-22,385125,2,28.6,13-Oct-23,Assandh Gl,
P20IGOL5212430,12-Aug-22,78125,1,24.8,13-Oct-23,Assandh Gl,
P20IGOL5217503,13-Aug-22,5125,1,2,13-Oct-23,Assandh Gl,
P20IGOL5231716,16-Aug-22,10125,1,3.2,13-Oct-23,Assandh Gl,
P20IGOL5232249,16-Aug-22,15125,1,4.55,13-Oct-23,Assandh Gl,
P20IGOL5234980,16-Aug-22,30119,1,2.7,13-Oct-23,Assandh Gl,
P20IGOL5241743,17-Aug-22,35075,1,10.1,13-Oct-23,Assandh Gl,
P20IGOL5253851,18-Aug-22,33630,2,4.2,13-Oct-23,Assandh Gl,
P20IGOL5254387,18-Aug-22,43780,1,19,13-Oct-23,Assandh Gl,
P20IGOL5262759,19-Aug-22,20125,2,6.54,13-Oct-23,Assandh Gl,
P20IGOL5273480,20-Aug-22,60471,1,20.1,13-Oct-23,Assandh Gl,
P417GOL5140983,04-Aug-22,11712,1,3.74,13-Oct-23,Aurangabad Bansilala Nagar GL,"Bajaj Finance LTD.,Shop no.3 & 4, Upper Ground Floor, B wing, Raja Bansilal Market, relway station Road, Bansilala Nagar, Aurangabad 431001"
P417GOL5209784,12-Aug-22,17992,1,5.89,13-Oct-23,Aurangabad Bansilala Nagar GL,
P417GOL5255062,18-Aug-22,70048,2,7.73,13-Oct-23,Aurangabad Bansilala Nagar GL,
P417GOL5273750,20-Aug-22,63348,1,3.43,13-Oct-23,Aurangabad Bansilala Nagar GL,
P417GOL5304449,24-Aug-22,13000,1,2.96,13-Oct-23,Aurangabad Bansilala Nagar GL,
PB50GOL5122837,01-Aug-22,12725,1,4,13-Oct-23,Aurangabad Gl,"Bajaj Finance Limited Motiwala Trade Center, Samarth Nagar , Nirala Bajar, Aurangabad"
PB50GOL5120883,01-Aug-22,22025,1,4.8,13-Oct-23,Aurangabad Gl,
PB50GOL5125257,02-Aug-22,10400,1,3.178,13-Oct-23,Aurangabad Gl,
PB50GOL5125663,02-Aug-22,22225,1,2.4,13-Oct-23,Aurangabad Gl,
